time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-16T22:13:25.630Z,34.1428333,-118.3631667,0.82,1.76,ml,12,70,0.1503,0.39,ci,ci37569647,2017-01-16T22:17:20.350Z,"1km WNW of Universal City, CA",earthquake,1.09,31.61,0.329,17,automatic,ci,ci
2017-01-16T22:09:45.340Z,49.4181667,-120.54,-0.51,2.1,ml,6,224,0.6055,0.24,uw,uw61229022,2017-01-17T02:09:44.010Z,"4km SSW of Princeton, Canada",explosion,1.65,31.61,0.207,5,reviewed,uw,uw
2017-01-16T22:03:16.300Z,33.8406667,-117.496,1.28,1.2,ml,51,62,0.04836,0.17,ci,ci37569639,2017-01-16T22:07:14.988Z,"5km SSE of Home Gardens, CA",quarry blast,0.22,0.44,0.166,32,automatic,ci,ci
2017-01-16T22:03:10.640Z,33.8298333,-117.8811667,0.52,1.93,ml,21,200,0.203,0.33,ci,ci37569631,2017-01-16T22:06:57.237Z,"1km SE of Anaheim, CA",earthquake,2.05,31.61,0.201,6,automatic,ci,ci
2017-01-16T22:02:50.290Z,38.8233337,-122.8061676,2.37,1.47,md,25,71,0.003052,0.03,nc,nc72752980,2017-01-16T22:20:03.608Z,"6km NW of The Geysers, California",earthquake,0.23,0.46,0.09,6,automatic,nc,nc
2017-01-16T21:50:19.095Z,61.4246,-140.149,0,2.6,ml,,,,0.65,ak,ak15081600,2017-01-16T22:09:43.405Z,"160km WNW of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2017-01-16T21:40:10.760Z,58.1321,-136.8279,12.2,4.4,mb,,,,1.34,us,us10007tka,2017-01-16T22:23:44.040Z,"71km WSW of Gustavus, Alaska",earthquake,3.8,5.7,0.068,62,reviewed,ak,us
2017-01-16T21:38:59.523Z,64.3438,-149.9874,10,0.8,ml,,,,0.64,ak,ak15081580,2017-01-17T05:37:08.756Z,"49km WSW of North Nenana, Alaska",earthquake,,0,,,reviewed,ak,ak
2017-01-16T21:30:04.791Z,62.3694,-148.4374,26.9,2.2,ml,,,,1.01,ak,ak15081574,2017-01-16T21:43:47.349Z,"67km NNE of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-16T21:23:42.585Z,38.3634,-118.9151,6.9,0.9,ml,6,293.51,0.15,0.1644,nn,nn00574326,2017-01-16T23:13:21.927Z,"30km ENE of Bridgeport, California",earthquake,,4.7,0.08,2,reviewed,nn,nn
2017-01-16T21:22:15.860Z,33.517,-116.4586667,4.62,1.03,ml,36,69,0.02827,0.21,ci,ci37569623,2017-01-16T21:25:57.855Z,"20km ESE of Anza, CA",earthquake,0.26,0.64,0.21,27,automatic,ci,ci
2017-01-16T21:21:05.170Z,38.7871666,-122.7483368,2.49,0.92,md,9,99,0.009887,0.01,nc,nc72752970,2017-01-16T21:36:01.532Z,"1km NNE of The Geysers, California",earthquake,0.44,0.89,0.05,4,automatic,nc,nc
2017-01-16T21:06:34.403Z,58.1503,-136.5419,0,2.8,ml,,,,0.76,ak,ak15081563,2017-01-16T21:17:53.067Z,"55km WSW of Gustavus, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-16T20:59:29.560Z,32.9478333,-117.6701667,2.59,2.29,ml,21,187,0.4767,0.22,ci,ci37569583,2017-01-16T21:03:05.336Z,"37km WSW of Encinitas, CA",earthquake,0.9,4.31,0.133,26,automatic,ci,ci
2017-01-16T20:53:37.200Z,58.155,-136.8172,10,4.1,ml,,156,1.117,1.1,us,us10007tk0,2017-01-16T22:04:32.080Z,"69km WSW of Gustavus, Alaska",earthquake,5.5,2,,19,reviewed,us,at
2017-01-16T20:47:38.290Z,-13.4817,166.4962,10,5.9,mwb,,61,7.289,1.18,us,us10007tjy,2017-01-16T22:53:28.114Z,"122km WNW of Sola, Vanuatu",earthquake,8.9,1.8,0.048,41,reviewed,us,us
2017-01-16T20:44:46.095Z,38.384,-118.9046,13.5,0.7,ml,9,173.51,0.131,0.1597,nn,nn00574324,2017-01-16T23:10:14.885Z,"29km WSW of Hawthorne, Nevada",earthquake,,2.5,0.07,2,reviewed,nn,nn
2017-01-16T20:40:43.850Z,36.7662,-116.1627,5.7,0,ml,5,274.5,0.052,0.1338,nn,nn00574323,2017-01-16T23:01:00.112Z,"55km ESE of Beatty, Nevada",earthquake,,4.8,0.03,2,reviewed,nn,nn
