"Date of Census","Total Adults in Shelter","Total Children in Shelter","Total Individuals in Shelter","Single Adult Men in Shelter","Single Adult Women in Shelter","Total Single Adults in Shelter","Families with Children in Shelter","Adults in Families with Children in Shelter","Children in Families with Children in Shelter","Total Individuals in Families with Children in Shelter ","Adult Families in Shelter","Individuals in Adult Families in Shelter"
"12/13/2024","54164","32499","86663","16027","5452","21479","18984","28647","32499","61146","1883","4038"
"12/12/2024","54259","32537","86796","16033","5472","21505","19015","28710","32537","61247","1885","4044"
"12/11/2024","54265","32649","86914","15949","5483","21432","19064","28789","32649","61438","1884","4044"
"12/10/2024","54210","32623","86833","15886","5484","21370","19053","28790","32623","61413","1887","4050"
"12/09/2024","54181","32624","86805","15907","5466","21373","19037","28775","32624","61399","1879","4033"
"12/08/2024","54274","32691","86965","15952","5464","21416","19094","28841","32691","61532","1870","4017"
"12/07/2024","54188","32601","86789","15925","5454","21379","19051","28785","32601","61386","1873","4024"
"12/06/2024","54250","32743","86993","15868","5464","21332","19121","28888","32743","61631","1877","4030"
"12/05/2024","54470","32756","87226","16056","5454","21510","19142","28936","32756","61692","1874","4024"
"12/04/2024","54514","32781","87295","16064","5455","21519","19152","28955","32781","61736","1878","4040"
"12/03/2024","54418","32788","87206","15966","5448","21414","19160","28966","32788","61754","1876","4038"
"12/02/2024","54495","32735","87230","16020","5482","21502","19134","28941","32735","61676","1882","4052"
"12/01/2024","54531","32791","87322","16050","5464","21514","19158","28969","32791","61760","1880","4048"
"11/30/2024","54416","32748","87164","15999","5455","21454","19123","28924","32748","61672","1874","4038"
"11/29/2024","54458","32854","87312","15963","5448","21411","19176","28990","32854","61844","1884","4057"
"11/28/2024","54507","32907","87414","15955","5446","21401","19202","29037","32907","61944","1890","4069"
"11/27/2024","54505","32877","87382","16020","5463","21483","19174","28995","32877","61872","1871","4027"
"11/26/2024","54492","32766","87258","16030","5472","21502","19126","28935","32766","61701","1884","4055"
"11/25/2024","54501","32727","87228","16017","5491","21508","19102","28904","32727","61631","1900","4089"
"11/24/2024","54461","32729","87190","16028","5469","21497","19091","28897","32729","61626","1890","4067"
"11/23/2024","54537","32860","87397","16012","5474","21486","19151","28966","32860","61826","1898","4085"
"11/22/2024","54579","32813","87392","16067","5471","21538","19131","28944","32813","61757","1904","4097"
"11/21/2024","54606","32828","87434","16056","5466","21522","19139","28961","32828","61789","1915","4123"
"11/20/2024","54615","32901","87516","16036","5477","21513","19164","29007","32901","61908","1902","4095"
"11/19/2024","54596","32930","87526","16003","5478","21481","19164","29023","32930","61953","1900","4092"
"11/18/2024","54563","32912","87475","16018","5456","21474","19150","29011","32912","61923","1894","4078"
"11/17/2024","54611","33004","87615","16027","5450","21477","19193","29056","33004","62060","1894","4078"
"11/16/2024","54507","32955","87462","15978","5461","21439","19157","29004","32955","61959","1887","4064"
"11/15/2024","54605","32963","87568","16026","5449","21475","19176","29029","32963","61992","1905","4101"
"11/14/2024","54703","32966","87669","16090","5479","21569","19195","29049","32966","62015","1897","4085"
"11/13/2024","54688","32945","87633","16110","5464","21574","19185","29019","32945","61964","1901","4095"
"11/12/2024","54609","32883","87492","16097","5485","21582","19140","28955","32883","61838","1890","4072"
"11/11/2024","54577","32872","87449","16110","5467","21577","19127","28944","32872","61816","1882","4056"
"11/10/2024","54555","32905","87460","16065","5462","21527","19147","28967","32905","61872","1885","4061"
"11/09/2024","54471","32868","87339","15989","5469","21458","19140","28953","32868","61821","1884","4060"
"11/08/2024","54423","32789","87212","15990","5461","21451","19096","28909","32789","61698","1886","4063"
"11/07/2024","54515","32820","87335","16084","5448","21532","19108","28925","32820","61745","1884","4058"
"11/06/2024","54490","32819","87309","16043","5447","21490","19102","28929","32819","61748","1891","4071"
"11/05/2024","54498","32727","87225","16092","5465","21557","19060","28873","32727","61600","1890","4068"
"11/04/2024","54515","32683","87198","16145","5459","21604","19047","28857","32683","61540","1884","4054"
"11/03/2024","54462","32703","87165","16102","5445","21547","19051","28874","32703","61577","1878","4041"
"11/02/2024","54307","32714","87021","15975","5425","21400","19051","28875","32714","61589","1874","4032"
"11/01/2024","54392","32806","87198","15965","5406","21371","19108","28960","32806","61766","1887","4061"
"10/31/2024","54436","32784","87220","16000","5437","21437","19096","28952","32784","61736","1881","4047"
"10/30/2024","54439","32767","87206","16013","5425","21438","19086","28949","32767","61716","1883","4052"
"10/29/2024","54459","32765","87224","16047","5446","21493","19076","28946","32765","61711","1868","4020"
"10/28/2024","54449","32779","87228","16020","5438","21458","19073","28960","32779","61739","1874","4031"
"10/27/2024","54430","32844","87274","15966","5433","21399","19116","29018","32844","61862","1865","4013"
"10/26/2024","54365","32821","87186","15895","5432","21327","19122","29016","32821","61837","1870","4022"
"10/25/2024","54367","32769","87136","15941","5413","21354","19095","28977","32769","61746","1875","4036"
"10/24/2024","54373","32778","87151","15955","5394","21349","19100","28989","32778","61767","1874","4035"
"10/23/2024","54362","32781","87143","15916","5401","21317","19114","29015","32781","61796","1871","4030"
"10/22/2024","54347","32783","87130","15930","5391","21321","19103","29000","32783","61783","1871","4026"
"10/21/2024","54384","32783","87167","15917","5378","21295","19114","29031","32783","61814","1887","4058"
"10/20/2024","54333","32833","87166","15867","5360","21227","19132","29063","32833","61896","1879","4043"
"10/19/2024","54293","32834","87127","15837","5360","21197","19129","29065","32834","61899","1873","4031"
"10/18/2024","54290","32835","87125","15844","5365","21209","19134","29064","32835","61899","1867","4017"
"10/17/2024","54439","32901","87340","15907","5365","21272","19167","29129","32901","62030","1877","4038"
"10/16/2024","54506","32958","87464","15931","5359","21290","19194","29191","32958","62149","1871","4025"
"10/15/2024","54526","33017","87543","15910","5322","21232","19246","29260","33017","62277","1875","4034"
"10/14/2024","54416","33015","87431","15827","5305","21132","19249","29276","33015","62291","1862","4008"
"10/13/2024","54210","32996","87206","15699","5285","20984","19227","29239","32996","62235","1852","3987"
"10/12/2024","54223","33013","87236","15649","5295","20944","19239","29260","33013","62273","1867","4019"
"10/11/2024","54245","33040","87285","15645","5298","20943","19244","29286","33040","62326","1866","4016"
"10/10/2024","54279","33022","87301","15671","5288","20959","19248","29304","33022","62326","1865","4016"
"10/09/2024","54264","33037","87301","15628","5271","20899","19266","29349","33037","62386","1864","4016"
"10/08/2024","54215","33003","87218","15572","5299","20871","19245","29335","33003","62338","1863","4009"
"10/07/2024","54150","32986","87136","15516","5274","20790","19235","29324","32986","62310","1876","4036"
"10/06/2024","54024","32875","86899","15481","5267","20748","19186","29268","32875","62143","1862","4008"
"10/05/2024","53905","32844","86749","15402","5254","20656","19162","29234","32844","62078","1866","4015"
"10/04/2024","54082","33076","87158","15382","5251","20633","19304","29422","33076","62498","1872","4027"
"10/03/2024","54178","33069","87247","15477","5270","20747","19287","29405","33069","62474","1872","4026"
"10/02/2024","54268","33154","87422","15443","5285","20728","19354","29513","33154","62667","1871","4027"
"10/01/2024","54309","33124","87433","15496","5262","20758","19344","29503","33124","62627","1880","4048"
"09/30/2024","54298","33154","87452","15495","5245","20740","19354","29534","33154","62688","1869","4024"
"09/29/2024","54294","33186","87480","15457","5247","20704","19369","29568","33186","62754","1868","4022"
"09/28/2024","54222","33156","87378","15392","5248","20640","19343","29543","33156","62699","1876","4039"
"09/27/2024","54134","33105","87239","15382","5229","20611","19316","29520","33105","62625","1860","4003"
"09/26/2024","54226","33077","87303","15418","5261","20679","19316","29533","33077","62610","1865","4014"
"09/25/2024","54233","33135","87368","15408","5235","20643","19341","29578","33135","62713","1864","4012"
"09/24/2024","54189","33088","87277","15398","5248","20646","19307","29531","33088","62619","1864","4012"
"09/23/2024","54158","33079","87237","15394","5226","20620","19306","29534","33079","62613","1863","4004"
"09/22/2024","54127","33094","87221","15377","5205","20582","19319","29562","33094","62656","1854","3983"
"09/21/2024","54108","33127","87235","15329","5186","20515","19334","29583","33127","62710","1866","4010"
"09/20/2024","54089","33086","87175","15344","5179","20523","19305","29556","33086","62642","1866","4010"
"09/19/2024","54219","33125","87344","15427","5190","20617","19330","29603","33125","62728","1862","3999"
"09/18/2024","54189","33113","87302","15420","5181","20601","19329","29596","33113","62709","1858","3992"
"09/17/2024","54256","33133","87389","15422","5193","20615","19342","29643","33133","62776","1861","3998"
"09/16/2024","54251","33121","87372","15422","5173","20595","19342","29657","33121","62778","1861","3999"
"09/15/2024","54190","33133","87323","15376","5129","20505","19364","29697","33133","62830","1856","3988"
"09/14/2024","53966","33129","87095","15181","5139","20320","19351","29680","33129","62809","1845","3966"
"09/13/2024","54184","33132","87316","15370","5150","20520","19357","29688","33132","62820","1850","3976"
"09/12/2024","54320","33200","87520","15436","5143","20579","19403","29746","33200","62946","1858","3995"
"09/11/2024","54316","33238","87554","15407","5139","20546","19407","29771","33238","63009","1859","3999"
"09/10/2024","54217","33233","87450","15316","5128","20444","19404","29764","33233","62997","1865","4009"
"09/09/2024","54435","33250","87685","15455","5140","20595","19440","29824","33250","63074","1868","4016"
"09/08/2024","54446","33347","87793","15428","5104","20532","19488","29905","33347","63252","1866","4009"
"09/07/2024","54322","33269","87591","15365","5109","20474","19446","29852","33269","63121","1859","3996"
"09/06/2024","54253","33290","87543","15328","5107","20435","19432","29839","33290","63129","1851","3979"
"09/05/2024","54357","33398","87755","15364","5121","20485","19483","29910","33398","63308","1843","3962"
"09/04/2024","54408","33376","87784","15378","5130","20508","19482","29919","33376","63295","1852","3981"
"09/03/2024","54524","33426","87950","15397","5150","20547","19505","29969","33426","63395","1864","4008"
"09/02/2024","54457","33468","87925","15351","5112","20463","19527","30006","33468","63474","1853","3988"
"09/01/2024","54359","33463","87822","15293","5095","20388","19514","29994","33463","63457","1848","3977"
"08/31/2024","54366","33400","87766","15307","5116","20423","19483","29953","33400","63353","1854","3990"
"08/30/2024","54363","33391","87754","15309","5109","20418","19482","29952","33391","63343","1856","3993"
"08/29/2024","54365","33323","87688","15373","5110","20483","19442","29904","33323","63227","1850","3978"
"08/28/2024","54413","33320","87733","15349","5142","20491","19442","29917","33320","63237","1863","4005"
"08/27/2024","54242","33253","87495","15253","5116","20369","19412","29859","33253","63112","1867","4014"
"08/26/2024","54409","33274","87683","15423","5112","20535","19397","29854","33274","63128","1870","4020"
"08/25/2024","54384","33305","87689","15349","5105","20454","19433","29912","33305","63217","1869","4018"
"08/24/2024","54304","33330","87634","15244","5106","20350","19437","29924","33330","63254","1875","4030"
"08/23/2024","54319","33277","87596","15292","5113","20405","19411","29897","33277","63174","1869","4017"
"08/22/2024","54460","33255","87715","15418","5131","20549","19409","29903","33255","63158","1865","4008"
"08/21/2024","54412","33273","87685","15386","5118","20504","19408","29902","33273","63175","1865","4006"
"08/20/2024","54426","33223","87649","15423","5117","20540","19389","29883","33223","63106","1863","4003"
"08/19/2024","54334","33164","87498","15381","5087","20468","19351","29838","33164","63002","1874","4028"
"08/18/2024","54312","33189","87501","15327","5115","20442","19365","29838","33189","63027","1876","4032"
"08/17/2024","54202","33210","87412","15231","5113","20344","19382","29873","33210","63083","1854","3985"
"08/16/2024","54313","33281","87594","15287","5093","20380","19402","29916","33281","63197","1869","4017"
"08/15/2024","54406","33323","87729","15280","5129","20409","19439","29968","33323","63291","1874","4029"
"08/14/2024","54388","33291","87679","15265","5139","20404","19421","29965","33291","63256","1869","4019"
"08/13/2024","54272","33220","87492","15253","5118","20371","19378","29898","33220","63118","1861","4003"
"08/12/2024","54302","33243","87545","15211","5117","20328","19411","29947","33243","63190","1873","4027"
"08/11/2024","54298","33280","87578","15208","5105","20313","19445","29989","33280","63269","1859","3996"
"08/10/2024","54246","33268","87514","15186","5075","20261","19441","29987","33268","63255","1860","3998"
"08/09/2024","54270","33248","87518","15205","5084","20289","19424","29971","33248","63219","1866","4010"
"08/08/2024","54316","33257","87573","15254","5073","20327","19431","29991","33257","63248","1859","3998"
"08/07/2024","54196","33244","87440","15156","5077","20233","19420","29980","33244","63224","1853","3983"
"08/06/2024","54146","33226","87372","15078","5079","20157","19423","29989","33226","63215","1862","4000"
"08/05/2024","54080","33194","87274","15027","5085","20112","19407","29982","33194","63176","1856","3986"
"08/04/2024","53981","33168","87149","14973","5080","20053","19379","29952","33168","63120","1850","3976"
"08/03/2024","53874","33136","87010","14924","5068","19992","19358","29907","33136","63043","1850","3975"
"08/02/2024","53868","33137","87005","14948","5057","20005","19339","29878","33137","63015","1854","3985"
"08/01/2024","53924","33140","87064","14997","5043","20040","19325","29882","33140","63022","1861","4002"
"07/31/2024","53884","33156","87040","14922","5048","19970","19334","29884","33156","63040","1875","4030"
"07/30/2024","53916","33141","87057","14905","5085","19990","19324","29876","33141","63017","1886","4050"
"07/29/2024","53918","33101","87019","14915","5080","19995","19318","29874","33101","62975","1885","4049"
"07/28/2024","53730","33088","86818","14806","5038","19844","19307","29846","33088","62934","1881","4040"
"07/27/2024","53666","33034","86700","14767","5049","19816","19281","29813","33034","62847","1881","4037"
"07/26/2024","53760","33013","86773","14884","5039","19923","19262","29781","33013","62794","1889","4056"
"07/25/2024","53814","33021","86835","14906","5054","19960","19274","29788","33021","62809","1893","4066"
"07/24/2024","53796","32980","86776","14901","5071","19972","19242","29751","32980","62731","1897","4073"
"07/23/2024","53776","32957","86733","14890","5061","19951","19225","29728","32957","62685","1908","4097"
"07/22/2024","53643","32930","86573","14846","5040","19886","19184","29671","32930","62601","1903","4086"
"07/21/2024","53629","32996","86625","14779","5036","19815","19217","29728","32996","62724","1903","4086"
"07/20/2024","53643","33036","86679","14781","5019","19800","19247","29768","33036","62804","1899","4075"
"07/19/2024","53627","33007","86634","14806","5016","19822","19226","29730","33007","62737","1899","4075"
"07/18/2024","53635","33023","86658","14836","5011","19847","19217","29737","33023","62760","1887","4051"
"07/17/2024","53746","32978","86724","14896","5050","19946","19209","29730","32978","62708","1894","4070"
"07/16/2024","53822","33015","86837","14942","5045","19987","19224","29768","33015","62783","1892","4067"
"07/15/2024","53713","32977","86690","14909","5023","19932","19191","29731","32977","62708","1884","4050"
"07/14/2024","53658","32962","86620","14881","4989","19870","19185","29720","32962","62682","1892","4068"
"07/13/2024","53597","32961","86558","14798","4988","19786","19186","29724","32961","62685","1901","4087"
"07/12/2024","53563","32949","86512","14788","4973","19761","19180","29714","32949","62663","1902","4088"
"07/11/2024","53525","32969","86494","14739","4981","19720","19185","29723","32969","62692","1901","4082"
"07/10/2024","53487","32929","86416","14779","4965","19744","19153","29675","32929","62604","1893","4068"
"07/09/2024","53594","32978","86572","14869","4941","19810","19182","29721","32978","62699","1889","4063"
"07/08/2024","53600","32968","86568","14838","4939","19777","19188","29744","32968","62712","1896","4079"
"07/07/2024","53441","32940","86381","14791","4893","19684","19174","29723","32940","62663","1875","4034"
"07/06/2024","53396","32897","86293","14780","4892","19672","19142","29675","32897","62572","1882","4049"
"07/05/2024","53559","32900","86459","14910","4897","19807","19149","29689","32900","62589","1890","4063"
"07/04/2024","53531","32938","86469","14843","4901","19744","19178","29733","32938","62671","1886","4054"
"07/03/2024","53688","32920","86608","14983","4957","19940","19165","29730","32920","62650","1871","4018"
"07/02/2024","53840","33040","86880","15016","4976","19992","19213","29819","33040","62859","1876","4029"
"07/01/2024","54061","33052","87113","15172","4988","20160","19243","29868","33052","62920","1877","4033"
"06/30/2024","53971","33065","87036","15117","4958","20075","19249","29878","33065","62943","1869","4018"
"06/29/2024","53913","32995","86908","15116","4953","20069","19213","29829","32995","62824","1868","4015"
"06/28/2024","53907","32979","86886","15121","4944","20065","19201","29820","32979","62799","1871","4022"
"06/27/2024","54092","32955","87047","15309","4973","20282","19192","29815","32955","62770","1859","3995"
"06/26/2024","54057","32959","87016","15285","4976","20261","19178","29798","32959","62757","1860","3998"
"06/25/2024","54081","32987","87068","15294","4963","20257","19202","29827","32987","62814","1860","3997"
"06/24/2024","54099","32932","87031","15337","4967","20304","19170","29774","32932","62706","1872","4021"
"06/23/2024","54055","32903","86958","15333","4977","20310","19144","29731","32903","62634","1869","4014"
"06/22/2024","53993","32885","86878","15321","4967","20288","19117","29680","32885","62565","1875","4025"
"06/21/2024","53990","32849","86839","15319","4976","20295","19099","29667","32849","62516","1877","4028"
"06/20/2024","54051","32856","86907","15389","4988","20377","19106","29663","32856","62519","1867","4011"
"06/19/2024","54035","32853","86888","15402","4977","20379","19097","29655","32853","62508","1862","4001"
"06/18/2024","53917","32754","86671","15345","4970","20315","19058","29596","32754","62350","1863","4006"
"06/17/2024","54015","32769","86784","15401","4978","20379","19078","29621","32769","62390","1867","4015"
"06/16/2024","53986","32783","86769","15361","4972","20333","19084","29632","32783","62415","1871","4021"
"06/15/2024","53961","32746","86707","15352","4981","20333","19061","29594","32746","62340","1878","4034"
"06/14/2024","53983","32728","86711","15416","4964","20380","19045","29596","32728","62324","1866","4007"
"06/13/2024","53933","32711","86644","15399","4974","20373","19030","29579","32711","62290","1853","3981"
"06/12/2024","53906","32666","86572","15431","4980","20411","18998","29526","32666","62192","1848","3969"
"06/11/2024","54037","32718","86755","15489","4988","20477","19037","29585","32718","62303","1850","3975"
"06/10/2024","54007","32707","86714","15440","4984","20424","19028","29591","32707","62298","1858","3992"
"06/09/2024","53846","32665","86511","15348","4985","20333","19002","29552","32665","62217","1844","3961"
"06/08/2024","53835","32635","86470","15396","4967","20363","18979","29511","32635","62146","1843","3961"
"06/07/2024","53884","32643","86527","15373","4994","20367","18976","29517","32643","62160","1861","4000"
"06/06/2024","53969","32667","86636","15425","5012","20437","18987","29524","32667","62191","1866","4008"
"06/05/2024","53970","32662","86632","15437","5028","20465","18975","29505","32662","62167","1862","4000"
"06/04/2024","53880","32567","86447","15400","5035","20435","18927","29456","32567","62023","1856","3989"
"06/03/2024","53846","32605","86451","15321","5029","20350","18938","29487","32605","62092","1866","4009"
"06/02/2024","53817","32570","86387","15310","5029","20339","18927","29488","32570","62058","1856","3990"
"06/01/2024","53798","32578","86376","15297","5006","20303","18947","29512","32578","62090","1852","3983"
"05/31/2024","53857","32587","86444","15353","5012","20365","18943","29510","32587","62097","1851","3982"
"05/30/2024","53880","32570","86450","15341","5032","20373","18949","29517","32570","62087","1856","3990"
"05/29/2024","53872","32560","86432","15346","5002","20348","18955","29540","32560","62100","1853","3984"
"05/28/2024","53911","32552","86463","15393","4994","20387","18957","29545","32552","62097","1851","3979"
"05/27/2024","53793","32601","86394","15274","5013","20287","18977","29560","32601","62161","1833","3946"
"05/26/2024","53742","32605","86347","15243","5006","20249","18962","29535","32605","62140","1839","3958"
"05/25/2024","53648","32583","86231","15184","4999","20183","18942","29513","32583","62096","1836","3952"
"05/24/2024","53728","32569","86297","15235","5010","20245","18930","29519","32569","62088","1842","3964"
"05/23/2024","53704","32575","86279","15253","4991","20244","18925","29500","32575","62075","1839","3960"
"05/22/2024","53751","32578","86329","15278","5019","20297","18927","29504","32578","62082","1834","3950"
"05/21/2024","53799","32612","86411","15322","5016","20338","18942","29527","32612","62139","1828","3934"
"05/20/2024","53776","32576","86352","15309","5009","20318","18937","29515","32576","62091","1831","3943"
"05/19/2024","53739","32555","86294","15269","5012","20281","18934","29519","32555","62074","1828","3939"
"05/18/2024","53663","32519","86182","15257","4983","20240","18914","29489","32519","62008","1826","3934"
"05/17/2024","53729","32604","86333","15240","4973","20213","18962","29565","32604","62169","1834","3951"
"05/16/2024","53803","32676","86479","15267","5009","20276","18991","29594","32676","62270","1826","3933"
"05/15/2024","53897","32737","86634","15254","5018","20272","19030","29655","32737","62392","1844","3970"
"05/14/2024","53835","32647","86482","15232","5020","20252","18987","29599","32647","62246","1850","3984"
"05/13/2024","53829","32634","86463","15277","5021","20298","18970","29590","32634","62224","1829","3941"
"05/12/2024","53838","32715","86553","15208","5023","20231","19036","29677","32715","62392","1824","3930"
"05/11/2024","53894","32683","86577","15281","5038","20319","18999","29631","32683","62314","1831","3944"
"05/10/2024","53903","32674","86577","15288","5032","20320","19002","29625","32674","62299","1837","3958"
"05/09/2024","54114","32744","86858","15458","5016","20474","19028","29673","32744","62417","1840","3967"
"05/08/2024","54060","32754","86814","15406","5011","20417","19021","29664","32754","62418","1847","3979"
"05/07/2024","54050","32715","86765","15435","4996","20431","19006","29649","32715","62364","1843","3970"
"05/06/2024","54089","32723","86812","15456","5009","20465","19002","29646","32723","62369","1847","3978"
"05/05/2024","54028","32732","86760","15431","4985","20416","18999","29636","32732","62368","1846","3976"
"05/04/2024","53993","32699","86692","15406","4985","20391","18980","29611","32699","62310","1853","3991"
"05/03/2024","53983","32639","86622","15399","4998","20397","18949","29581","32639","62220","1860","4005"
"05/02/2024","54024","32634","86658","15446","5002","20448","18941","29570","32634","62204","1861","4006"
"05/01/2024","53913","32544","86457","15432","4993","20425","18887","29492","32544","62036","1856","3996"
"04/30/2024","53853","32530","86383","15375","5018","20393","18873","29477","32530","62007","1850","3983"
"04/29/2024","53803","32513","86316","15297","5027","20324","18865","29475","32513","61988","1859","4004"
"04/28/2024","53697","32521","86218","15226","5009","20235","18860","29484","32521","62005","1845","3978"
"04/27/2024","53690","32493","86183","15236","5010","20246","18844","29465","32493","61958","1847","3979"
"04/26/2024","53680","32424","86104","15251","5022","20273","18809","29414","32424","61838","1854","3993"
"04/25/2024","53732","32431","86163","15321","5003","20324","18824","29427","32431","61858","1849","3981"
"04/24/2024","53773","32435","86208","15289","5049","20338","18826","29439","32435","61874","1858","3996"
"04/23/2024","53669","32382","86051","15243","5068","20311","18775","29365","32382","61747","1857","3993"
"04/22/2024","53590","32375","85965","15174","5035","20209","18775","29372","32375","61747","1864","4009"
"04/21/2024","53505","32386","85891","15097","5041","20138","18780","29386","32386","61772","1850","3981"
"04/20/2024","53457","32373","85830","15043","5024","20067","18784","29393","32373","61766","1858","3997"
"04/19/2024","53622","32463","86085","15104","5060","20164","18838","29465","32463","61928","1858","3993"
"04/18/2024","53701","32537","86238","15106","5054","20160","18883","29542","32537","62079","1860","3999"
"04/17/2024","53553","32494","86047","15009","5058","20067","18857","29511","32494","62005","1848","3975"
"04/16/2024","53479","32452","85931","14952","5050","20002","18847","29481","32452","61933","1857","3996"
"04/15/2024","52884","31934","84818","14904","5012","19916","18577","28957","31934","60891","1864","4011"
"04/14/2024","52890","32007","84897","14887","5000","19887","18608","28999","32007","61006","1861","4004"
"04/13/2024","52977","31976","84953","14941","5014","19955","18585","28981","31976","60957","1880","4041"
"04/12/2024","53000","31983","84983","14910","5033","19943","18594","29003","31983","60986","1886","4054"
"04/11/2024","53171","32018","85189","15001","5042","20043","18614","29029","32018","61047","1905","4099"
"04/10/2024","53243","32000","85243","14920","5055","19975","18599","29034","32000","61034","1972","4234"
"04/09/2024","53298","31992","85290","14931","5027","19958","18600","29051","31992","61043","1998","4289"
"04/08/2024","53333","32012","85345","14883","5048","19931","18631","29101","32012","61113","2004","4301"
"04/07/2024","53208","32063","85271","14719","5035","19754","18647","29109","32063","61172","2027","4345"
"04/06/2024","53168","32040","85208","14727","5003","19730","18639","29096","32040","61136","2025","4342"
"04/05/2024","53390","32086","85476","14869","5038","19907","18663","29133","32086","61219","2029","4350"
"04/04/2024","53384","32026","85410","14894","5047","19941","18633","29099","32026","61125","2029","4344"
"04/03/2024","53375","31986","85361","14892","5060","19952","18627","29079","31986","61065","2028","4344"
"04/02/2024","53328","31964","85292","14850","5052","19902","18619","29083","31964","61047","2026","4343"
"04/01/2024","53299","31980","85279","14813","5038","19851","18634","29093","31980","61073","2033","4355"
"03/31/2024","53315","32056","85371","14769","5044","19813","18667","29144","32056","61200","2032","4358"
"03/30/2024","53318","32005","85323","14798","5057","19855","18638","29103","32005","61108","2033","4360"
"03/29/2024","53355","31993","85348","14826","5061","19887","18629","29095","31993","61088","2039","4373"
"03/28/2024","53426","32055","85481","14848","5058","19906","18670","29155","32055","61210","2034","4365"
"03/27/2024","53389","32016","85405","14854","5056","19910","18638","29105","32016","61121","2038","4374"
"03/26/2024","53393","31940","85333","14910","5072","19982","18605","29041","31940","60981","2036","4370"
"03/25/2024","53449","32022","85471","14919","5066","19985","18635","29087","32022","61109","2039","4377"
"03/24/2024","53498","32085","85583","14899","5069","19968","18691","29168","32085","61253","2032","4362"
"03/23/2024","53493","32056","85549","14907","5060","19967","18673","29138","32056","61194","2046","4388"
"03/22/2024","53534","32119","85653","14933","5050","19983","18700","29169","32119","61288","2043","4382"
"03/21/2024","53648","32154","85802","14942","5078","20020","18723","29231","32154","61385","2050","4397"
"03/20/2024","53603","32143","85746","14914","5063","19977","18735","29246","32143","61389","2044","4380"
"03/19/2024","53604","32166","85770","14923","5053","19976","18737","29234","32166","61400","2049","4394"
"03/18/2024","53618","32216","85834","14915","5040","19955","18760","29265","32216","61481","2050","4398"
"03/17/2024","53728","32394","86122","14840","5027","19867","18892","29469","32394","61863","2046","4392"
"03/16/2024","53629","32355","85984","14759","5024","19783","18865","29440","32355","61795","2054","4406"
"03/15/2024","53684","32375","86059","14826","5005","19831","18869","29447","32375","61822","2054","4406"
"03/14/2024","53750","32338","86088","14838","5068","19906","18863","29440","32338","61778","2054","4404"
"03/13/2024","53757","32347","86104","14799","5063","19862","18877","29461","32347","61808","2068","4434"
"03/12/2024","53723","32335","86058","14717","5071","19788","18882","29471","32335","61806","2084","4464"
"03/11/2024","53797","32425","86222","14732","5064","19796","18938","29544","32425","61969","2080","4457"
"03/10/2024","53763","32435","86198","14719","5052","19771","18941","29551","32435","61986","2072","4441"
"03/09/2024","53753","32399","86152","14741","5041","19782","18934","29532","32399","61931","2071","4439"
"03/08/2024","53766","32504","86270","14666","5044","19710","18982","29613","32504","62117","2071","4443"
"03/07/2024","53709","32475","86184","14617","5043","19660","18961","29590","32475","62065","2080","4459"
"03/06/2024","53839","32521","86360","14676","5060","19736","18983","29623","32521","62144","2090","4480"
"03/05/2024","53974","32592","86566","14725","5063","19788","19033","29688","32592","62280","2098","4498"
"03/04/2024","54170","32635","86805","14713","5054","19767","19057","29744","32635","62379","2179","4659"
"03/03/2024","54141","32661","86802","14648","5023","19671","19070","29771","32661","62432","2201","4699"
"03/02/2024","54124","32623","86747","14659","5037","19696","19050","29738","32623","62361","2197","4690"
"03/01/2024","54195","32650","86845","14644","5047","19691","19086","29793","32650","62443","2208","4711"
"02/29/2024","54299","32635","86934","14721","5055","19776","19080","29786","32635","62421","2219","4737"
"02/28/2024","54391","32691","87082","14770","5049","19819","19096","29809","32691","62500","2231","4763"
"02/27/2024","54475","32684","87159","14843","5032","19875","19090","29807","32684","62491","2246","4793"
"02/26/2024","54591","32724","87315","14957","4987","19944","19106","29847","32724","62571","2250","4800"
"02/25/2024","54692","32802","87494","14970","5017","19987","19159","29925","32802","62727","2241","4780"
"02/24/2024","54703","32806","87509","14974","5003","19977","19164","29921","32806","62727","2252","4805"
"02/23/2024","54705","32802","87507","14968","5004","19972","19148","29911","32802","62713","2260","4822"
"02/22/2024","54798","32829","87627","14996","5009","20005","19165","29947","32829","62776","2272","4846"
"02/21/2024","54841","32890","87731","14963","5023","19986","19199","30016","32890","62906","2268","4839"
"02/20/2024","54937","32922","87859","14993","5027","20020","19220","30048","32922","62970","2283","4869"
"02/19/2024","54925","32932","87857","15026","5000","20026","19221","30045","32932","62977","2275","4854"
"02/18/2024","55013","32973","87986","15066","5008","20074","19244","30090","32973","63063","2273","4849"
"02/17/2024","55069","32935","88004","15175","4985","20160","19215","30048","32935","62983","2279","4861"
"02/16/2024","55109","32988","88097","15165","4992","20157","19243","30082","32988","63070","2283","4870"
"02/15/2024","55249","33010","88259","15152","5100","20252","19258","30111","33010","63121","2291","4886"
"02/14/2024","55196","33046","88242","15104","5075","20179","19286","30137","33046","63183","2289","4880"
"02/13/2024","55278","33063","88341","15117","5094","20211","19309","30167","33063","63230","2299","4900"
"02/12/2024","55212","33075","88287","15068","5087","20155","19322","30182","33075","63257","2286","4875"
"02/11/2024","55281","33156","88437","15111","5062","20173","19370","30253","33156","63409","2277","4855"
